time,phi,theta,phi_dot,theta_dot,ua,ref,ts
8.704,-1.037653859207715,0.04946225417974378,9.199078891830398,0.6391550086504534,1.15,-0.34,0.0
8.715,-0.9351232469747188,-0.1799196955365927,10.196925784575518,0.3593637180110141,2.63,0.74,0.0
8.724,-0.8289217267457322,0.03224443195403512,10.628521749894237,-0.2701219182263348,1.5099999999999998,0.04,0.0
8.734,-0.7295463021520733,-0.10348023888810953,9.810886503475368,-0.5880242781990739,1.23,-0.05,0.0
8.744,-0.6168096807375305,-0.2667485660433076,10.398141992947998,-1.5725440727021063,1.1800000000000002,0.03,0.0
8.754,-0.5128346359798894,-0.2410760774245695,9.563388765931988,-1.9000440265030394,-0.23,-0.98,0.0
8.764,-0.43989698975683944,-0.36126896266869224,6.579323092593835,-1.514987507786563,0.0,-0.24,0.0
8.774,-0.36679652015611675,-0.2729057663331752,6.275360742583292,-0.20244892064913333,1.06,0.22,0.0
8.784,-0.30145840701398946,-0.038640548765353194,6.144141826250793,0.9762216820761225,0.7999999999999999,-0.25,0.0
8.795,-0.240966503851787,-0.0840233944720058,5.931202573639042,1.3637529835841546,1.0299999999999998,-0.1,0.0
8.804,-0.18823392053312205,-0.057927070906519385,5.225909558707635,1.0407123834182688,1.1800000000000002,0.43,0.0
8.814,-0.12337540155473231,-0.07524284382683386,6.11608669627676,0.5430765949842634,1.06,0.16,0.0
8.824,-0.05303871945402926,-0.11664881446257035,7.034988863492638,0.24498606050173916,2.36,1.27,0.0
8.834,0.02956276381721995,0.07657302206702733,8.168603221775502,-0.2026259361943592,0.08999999999999997,-0.91,0.0
8.845,0.11437551086525707,-0.34169442579177634,8.36117218314563,-0.594401621134566,0.5499999999999999,-0.68,0.0
8.856,0.18895464853438665,-0.26667326133333785,6.159161602895296,-1.2754204561999625,-0.2,-0.36,0.0
8.865,0.23894216686683653,-0.29280907940583173,4.338212404331912,-1.1999899790166668,0.26,0.34,0.0
8.875,0.2943436556609577,-0.16805267509331978,5.241587176717858,0.12435715064071728,0.83,0.02,0.0
